Rank,Release Group,Worldwide,Domestic,%,Foreign,%
198,First Cow,"$101,068","$101,068",100%,-,-
199,First Lady,"$93,298","$93,298",100%,-,-
200,Max Winslow and the House of Secrets,"$89,532","$31,250",34.90%,"$58,282",65.10%
201,Ammonite,"$87,552","$87,552",100%,-,-
202,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
203,Nomad: In the Footsteps of Bruce Chatwin,"$78,100",-,-,"$78,100",100%
204,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
205,How to Build a Girl,"$70,632","$70,632",100%,-,-
206,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.40%,"$37,523",53.60%
207,Pray: The Story of Patrick Peyton,"$67,814","$67,814",100%,-,-
208,All My Life,"$65,852",-,-,"$65,852",100%
209,My Brothers' Crossing,"$59,395","$59,395",100%,-,-
210,Saint Frances,"$59,257","$44,330",74.80%,"$14,927",25.20%
211,A Simple Wedding,"$54,415","$54,415",100%,-,-
212,Miss Fisher & the Crypt of Tears Special Screenings,"$51,158","$51,032",99.80%,$126,0.20%
213,House of Cardin,"$50,659",-,-,"$50,659",100%
214,Henchmen 2020 Re-release,"$49,676","$49,676",100%,-,-
215,The Way I See It,"$49,030","$49,030",100%,-,-
216,VHYes,"$47,037","$47,037",100%,-,-
217,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
218,Spree,"$43,840","$28,771",65.60%,"$15,069",34.40%
219,Juvenile Delinquents,"$39,455","$34,292",86.90%,"$5,163",13.10%
220,Three Christs,"$36,723","$36,723",100%,-,-
221,Tread,"$36,527","$36,527",100%,-,-
222,Waiting for Anya,"$36,404",-,-,"$36,404",100%
223,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
224,Rent-A-Pal,"$31,053","$30,901",99.50%,$152,0.50%
225,After Parkland,"$30,444","$30,444",100%,-,-
226,Olympic Dreams,"$29,450","$29,450",100%,-,-
227,Buffaloed,"$29,118","$29,118",100%,-,-
228,Abe,"$28,657",-,-,"$28,657",100%
229,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
230,José,"$26,563","$26,563",100%,-,-
231,Unsubscribe,"$25,488","$25,488",100%,-,-
232,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
233,Stage Mother,"$24,736",-,-,"$24,736",100%
234,The Trial of the Chicago 7,"$24,357",-,-,"$24,357",100%
235,Heart of Africa,"$24,139","$24,139",100%,-,-
236,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
237,Premature,"$23,071","$23,071",100%,-,-
238,L'Innocente,"$22,549","$22,549",100%,-,-
239,Tar,"$22,307","$22,307",100%,-,-
240,The Pale Door,"$21,166",-,-,"$21,166",100%
241,Lore,"$20,006","$20,006",100%,-,-
242,Foster Boy,"$19,873","$19,873",100%,-,-
243,Mandy 2020 Re-release,"$19,169","$19,169",100%,-,-
244,Shithouse,"$18,370","$18,370",100%,-,-
245,Made in Hong Kong,"$17,843","$17,843",100%,-,-
246,She Is the Ocean,"$17,723","$17,157",96.80%,$566,3.20%
247,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
248,Advocate,"$16,942","$16,942",100%,-,-
249,Centigrade,"$16,263","$16,263",100%,-,-
250,Straight Up,"$16,080","$16,080",100%,-,-
251,The Bay of Silence,"$15,889","$1,941",12.20%,"$13,948",87.80%
252,American Deep State,"$15,269","$15,269",100%,-,-
253,Counter Column,"$14,894","$14,894",100%,-,-
254,"I Was at Home, But...","$14,078","$14,078",100%,-,-
255,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
256,The Grizzlies,"$11,650","$11,650",100%,-,-
257,Powerbomb,"$11,319","$11,319",100%,-,-
258,Draupadi Unleashed,"$11,317","$11,317",100%,-,-
259,Lost in America,"$11,301","$11,301",100%,-,-
260,You Go to My Head,"$10,682","$10,682",100%,-,-
261,Coded Bias,"$10,236","$10,236",100%,-,-
262,Guest Artist,"$10,017","$10,017",100%,-,-
263,Foosballers,"$9,966","$9,966",100%,-,-
264,Just One More Kiss,"$9,130","$9,130",100%,-,-
265,Kindred,"$8,748","$8,748",100%,-,-
266,LX 2048,"$8,393",-,-,"$8,393",100%
267,Inside the Rain,"$8,140","$8,140",100%,-,-
268,The Wave,"$8,101","$8,101",100%,-,-
269,I AM PATRICK,"$7,880",-,-,"$7,880",100%
270,Dreaming Grand Avenue,"$7,789","$7,789",100%,-,-
271,Valley Girl,"$7,671",-,-,"$7,671",100%
272,The Other Lamb,"$7,385","$6,024",81.60%,"$1,361",18.40%
273,I Am Lisa,"$6,986","$6,986",100%,-,-
274,What We Found,"$6,976","$6,976",100%,-,-
275,12 Hour Shift,"$6,820","$6,820",100%,-,-
276,Human Capital,"$6,596","$6,596",100%,-,-
277,Afterward,"$6,477","$6,477",100%,-,-
278,Lie Exposed,"$5,775","$5,775",100%,-,-
279,In the Life of Music,"$5,772","$5,772",100%,-,-
280,Sex and the Future,"$5,745","$5,745",100%,-,-
281,Find Your Voice,"$5,560","$5,560",100%,-,-
282,Still Here,"$5,268","$5,268",100%,-,-
283,Ottolenghi and the Cakes of Versailles,"$4,962","$4,962",100%,-,-
284,King's Gambit,"$3,816","$3,816",100%,-,-
285,Bang! Bang!,"$2,658","$2,658",100%,-,-
286,Moondance,"$2,371","$2,371",100%,-,-
287,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
288,Goldie,"$2,302","$2,302",100%,-,-
289,The Transcendents,"$2,041","$2,041",100%,-,-
290,Gul Makai,"$2,035",-,-,"$2,035",100%
291,The Shade Shepherd,"$1,781","$1,781",100%,-,-
292,The Fox Hunter,"$1,577","$1,577",100%,-,-
293,Fear Pharm,"$1,157","$1,157",100%,-,-
294,The Father,"$1,116",-,-,"$1,116",100%
295,Hai Tang Hong,"$1,107","$1,107",100%,-,-
296,Greater 2020 Re-release,$527,$527,100%,-,-
297,Spaceship Earth,$362,-,-,$362,100%
